id,account_id,account_bank,account_type,account_status,account_balance,account_country,account_lat,account_lon,transaction_id,transaction_amount,transaction_date,transaction_time,transaction_type,transaction_type_name,transaction_category,transaction_channel,transaction_limit,terminal_id,terminal_network,dest_account_id,dest_bank,dest_account_type,dest_account_status,dest_account_balance,dest_account_country,ip,country,transaction_status,ppn_dttm,card_number,card_limit,card_type,limit_gabungan
13,13,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,310178c0-ec95-4edb-9a81-912c805f0464,150000,2022-12-05 8:02:05,8:02:05,401000,Transfer External BIFAST,Transfer,Mobile Banking,10000000,5,517,113,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
14,14,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,4e81a600-3583-4002-bd30-f79758b4fefd,100000,2022-12-06 22:10:25,22:10:25,401000,Transfer External BIFAST,Transfer,Mobile Banking,10000000,5,517,114,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
15,15,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,bedfab3e-1638-4900-b54a-c09545bd30ec,50000,2022-12-15 17:19:34,17:19:34,401000,Transfer External BIFAST,Transfer,Mobile Banking,10000000,5,517,115,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
16,16,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,40e369e8-0b81-4b20-9607-ac5ce102e95d,27000,2022-12-23 22:27:42,22:27:42,401000,Transfer External BIFAST,Transfer,Mobile Banking,10000000,5,517,116,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
17,17,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,06c79ad6-ef3c-444b-ad88-81debe92ab1e,500000,2022-12-15 13:26:44,13:26:44,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,117,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
18,18,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,27484943-0b9e-403f-8403-033e836bec59,1000000,2022-12-15 13:39:30,13:39:30,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,118,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
19,19,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,0d2d7b46-e353-4b61-9266-d40966342afe,500000,2022-12-15 21:38:47,21:38:47,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,119,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
20,20,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,1300000,2022-12-16 17:34:25,17:34:25,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,120,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
21,20,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000,2022-12-16 17:35:12,17:35:12,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,121,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
22,22,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,f81bc473-1ac9-4ef6-9668-b13bcc9de919,100000,2022-12-26 7:22:47,7:22:47,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,122,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
23,23,Sumut,Tabungan,Active,2000000,Indonesia,-98.8375,-6.93649,bac1a35d-b062-4db7-9866-896c0a03e6e1,1000000,2022-12-07 15:53:00,15:53:00,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,123,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
24,24,Sumut,Tabungan,Active,500000,Indonesia,-98.8375,-6.93649,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000,2022-12-08 15:52:24,15:52:24,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,124,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
25,25,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,140000,2022-12-09 12:53:56,12:53:56,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,125,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
26,26,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,f6fc4e5c-98ee-46a4-8a30-75838584dd72,750000,2022-12-09 13:00:34,13:00:34,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,126,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
27,27,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,100000,2022-12-29 17:27:07,17:27:07,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,127,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
28,28,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,67e711a9-75d0-478a-9a98-f27940349b67,400000,2022-11-25 20:06:17,20:06:17,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,128,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
29,30,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,42c5b209-59cb-46f2-8843-0295924a7e52,1000000,2022-11-28 9:56:41,9:56:41,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,129,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
30,30,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000,2022-11-28 9:57:40,9:57:40,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,130,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
31,31,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,bb1f22ef-052f-46c2-a17f-dbb7137967a7,400000,2022-11-30 7:52:42,7:52:42,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,131,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
32,32,Sumut,Tabungan,Active,10000000,Indonesia,-98.8375,-6.93649,b52efd0e-20e9-4db0-bdaf-0917520ac926,500000,2022-11-28 17:21:37,17:21:37,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,132,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
33,33,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,310178c0-ec95-4edb-9a81-912c805f0464,150000,2022-11-28 19:05:49,19:05:49,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,133,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
34,34,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,4e81a600-3583-4002-bd30-f79758b4fefd,100000,2022-11-29 7:37:09,7:37:09,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,134,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
35,35,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,bedfab3e-1638-4900-b54a-c09545bd30ec,50000,2022-11-29 7:42:04,7:42:04,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,135,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
36,36,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,40e369e8-0b81-4b20-9607-ac5ce102e95d,27000,2022-11-29 9:31:19,9:31:19,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,136,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
37,37,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,06c79ad6-ef3c-444b-ad88-81debe92ab1e,500000,2022-11-29 10:59:22,10:59:22,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,137,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
38,38,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,27484943-0b9e-403f-8403-033e836bec59,1000000,2022-11-30 9:18:02,9:18:02,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,138,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
39,40,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,0d2d7b46-e353-4b61-9266-d40966342afe,500000,2022-12-02 21:01:49,21:01:49,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,139,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
40,40,Sumut,Tabungan,Active,50000000,Indonesia,-98.8375,-6.93649,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,1300000,2022-12-02 21:02:40,21:02:40,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,140,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
41,41,Sumut,Tabungan,Active,40215384.62,Indonesia,-98.8375,-6.93649,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000,2022-12-05 12:33:23,12:33:23,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,141,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
42,42,Sumut,Tabungan,Active,40853939.96,Indonesia,-98.8375,-6.93649,f81bc473-1ac9-4ef6-9668-b13bcc9de920,100000,2022-12-05 15:18:06,15:18:06,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,142,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
43,43,Sumut,Tabungan,Active,41492495.31,Indonesia,-98.8375,-6.93649,bac1a35d-b062-4db7-9866-896c0a03e6e2,1000000,2022-12-05 16:06:38,16:06:38,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,143,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
44,44,Sumut,Tabungan,Active,42131050.66,Indonesia,-98.8375,-6.93649,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000,2022-12-05 17:07:01,17:07:01,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,144,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
45,45,Sumut,Tabungan,Active,42769606,Indonesia,-98.8375,-6.93649,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,140000,2022-12-05 17:38:41,17:38:41,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,145,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
46,46,Sumut,Tabungan,Active,43408161.35,Indonesia,-98.8375,-6.93649,f6fc4e5c-98ee-46a4-8a30-75838584dd73,750000,2022-12-07 7:43:39,7:43:39,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,146,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
47,47,Sumut,Tabungan,Active,44046716.7,Indonesia,-98.8375,-6.93649,f9ea05a1-ceba-4c8c-a35b-81bc2461d925,750000,2022-12-07 9:31:04,9:31:04,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,147,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
48,48,Sumut,Tabungan,Active,44685272.05,Indonesia,-98.8375,-6.93649,67e711a9-75d0-478a-9a98-f27940349b68,400000,2022-12-08 17:33:03,17:33:03,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,148,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
49,49,Sumut,Tabungan,Active,45323827.39,Indonesia,-98.8375,-6.93649,42c5b209-59cb-46f2-8843-0295924a7e53,1000000,2022-12-09 11:22:11,11:22:11,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,149,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
50,50,Sumut,Tabungan,Active,45962382.74,Indonesia,-98.8375,-6.93649,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000,2022-12-12 9:22:39,9:22:39,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,150,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
51,50,Sumut,Tabungan,Active,46600938.09,Indonesia,-98.8375,-6.93649,bb1f22ef-052f-46c2-a17f-dbb7137967a8,400000,2022-12-12 9:23:26,9:23:26,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,151,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
52,52,Sumut,Tabungan,Active,47239493.43,Indonesia,-98.8375,-6.93649,b52efd0e-20e9-4db0-bdaf-0917520ac927,240000,2022-12-13 8:33:08,8:33:08,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,152,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
53,53,Sumut,Tabungan,Active,47878048.78,Indonesia,-98.8375,-6.93649,310178c0-ec95-4edb-9a81-912c805f0465,150000,2022-12-13 12:12:14,12:12:14,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,153,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
54,54,Sumut,Tabungan,Active,48516604.13,Indonesia,-98.8375,-6.93649,4e81a600-3583-4002-bd30-f79758b4fefd,100000,2022-12-13 17:53:04,17:53:04,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,154,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
55,55,Sumut,Tabungan,Active,49155159.47,Indonesia,-98.8375,-6.93649,bedfab3e-1638-4900-b54a-c09545bd30ec,50000,2022-12-15 20:05:30,20:05:30,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,155,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
56,56,Sumut,Tabungan,Active,49793714.82,Indonesia,-98.8375,-6.93649,40e369e8-0b81-4b20-9607-ac5ce102e95d,27000,2022-12-16 12:22:02,12:22:02,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,156,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
57,57,Sumut,Tabungan,Active,50432270.17,Indonesia,-98.8375,-6.93649,06c79ad6-ef3c-444b-ad88-81debe92ab1e,500000,2022-12-19 10:37:22,10:37:22,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,157,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
58,58,Sumut,Tabungan,Active,51070825.52,Indonesia,-98.8375,-6.93649,27484943-0b9e-403f-8403-033e836bec60,1000000,2022-12-19 12:11:19,12:11:19,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,158,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
59,59,Sumut,Tabungan,Active,51709380.86,Indonesia,-98.8375,-6.93649,0d2d7b46-e353-4b61-9266-d40966342afe,500000,2022-12-21 11:39:01,11:39:01,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,159,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
60,60,Sumut,Tabungan,Active,52347936.21,Indonesia,-98.8375,-6.93649,d0d4aaa7-1da0-4275-a99c-d8e99ed823d10,1300000,2022-12-22 13:07:15,13:07:15,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,160,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
61,60,Sumut,Tabungan,Active,52986491.56,Indonesia,-98.8375,-6.93649,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000,2022-12-22 13:08:01,13:08:01,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,161,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
62,62,Sumut,Tabungan,Active,53625046.9,Indonesia,-98.8375,-6.93649,f81bc473-1ac9-4ef6-9668-b13bcc9de920,100000,2022-12-26 9:24:48,9:24:48,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,162,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
63,63,Sumut,Tabungan,Active,54263602.25,Indonesia,-98.8375,-6.93649,bac1a35d-b062-4db7-9866-896c0a03e6e2,1000000,2022-12-28 20:31:56,20:31:56,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,163,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
64,64,Sumut,Tabungan,Active,54902157.6,Indonesia,-98.8375,-6.93649,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000,2022-11-22 9:47:59,9:47:59,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,164,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
65,65,Sumut,Tabungan,Active,55540712.95,Indonesia,-98.8375,-6.93649,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,140000,2022-07-22 19:51:13,19:51:13,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,165,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
66,66,Sumut,Tabungan,Active,56179268.29,Indonesia,-98.8375,-6.93649,f6fc4e5c-98ee-46a4-8a30-75838584dd73,750000,2022-07-22 23:13:43,23:13:43,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,166,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
67,67,Sumut,Tabungan,Active,56817823.64,Indonesia,-98.8375,-6.93649,f9ea05a1-ceba-4c8c-a35b-81bc2461d925,550000,2022-07-22 23:17:27,23:17:27,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,167,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
68,68,Sumut,Tabungan,Active,57456378.99,Indonesia,-98.8375,-6.93649,67e711a9-75d0-478a-9a98-f27940349b68,400000,2022-07-25 0:19:10,0:19:10,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,168,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
69,69,Sumut,Tabungan,Active,58094934.33,Indonesia,-98.8375,-6.93649,42c5b209-59cb-46f2-8843-0295924a7e53,1000000,2022-08-01 8:36:09,8:36:09,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,169,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
70,70,Sumut,Tabungan,Active,58733489.68,Indonesia,-98.8375,-6.93649,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000,2022-11-28 17:07:11,17:07:11,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,170,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
71,71,Sumut,Tabungan,Active,59372045.03,Indonesia,-98.8375,-6.93649,bb1f22ef-052f-46c2-a17f-dbb7137967a8,400000,2022-11-28 22:01:55,22:01:55,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,171,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
72,72,Sumut,Tabungan,Active,60010600.38,Indonesia,-98.8375,-6.93649,b52efd0e-20e9-4db0-bdaf-0917520ac927,100000,2022-11-18 17:47:11,17:47:11,409900,Transfer Internal,Transfer,Mobile Banking,10000000,5,517,172,Sumut,Tabungan,Active,1000000,Indonesia,6.88736,Indonesia,51,12/30/2022 20:26,123456789,10000000,gold,10000000
